"Data";"20553 - Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - R$ (milhões";"20556 - Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - R$ (milhões)";"20581 - Saldo da carteira de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - R$ (milhões)";"20584 - Saldo da carteira de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - R$ (milhões)";"20645 - Concessões de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - R$ (milhões)";"20648 - Concessões de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - R$ (milhões)";"20673 - Concessões de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - R$ (milhões)";"20676 - Concessões de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - R$ (milhões)";"20728 - Taxa média de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - % a.a.";"20731 - Taxa média de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.a.";"20749 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.a.";"20752 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.a.";"20864 - Prazo médio das concessões de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - Meses";"20867 - Prazo médio das concessões de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - Meses";"20886 - Prazo médio das concessões de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - Meses";"20889 - Prazo médio das concessões de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - Meses";"20938 - Prazo médio da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - Meses";"20941 - Prazo médio da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - Meses";"20963 - Prazo médio da carteira de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - Meses";"20966 - Prazo médio da carteira de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - Meses";"21017 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas jurídicas - Aquisição de veículos - %";"21020 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas jurídicas - Arrendamento mercantil de veículos - %";"21042 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas físicas - Aquisição de veículos - %";"21045 - Percentual da carteira de crédito com recursos livres com atraso entre 15 e 90 dias - Pessoas físicas - Arrendamento mercantil de veículos - %";"21096 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - %";"21099 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - %";"21121 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - %";"21124 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - %";"25447 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - % a.m.";"25450 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.m.	";"25471 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.m.";"25474 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.m.";"27658 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Aquisição de veículos - % a.a.";"27660 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Arrendamento mercantil de veículos - % a.a.";"27680 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Aquisição de veículos - % a.a.";"27682 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Arrendamento mercantil de veículos - % a.a.";"27735 - Saldo das operações de crédito por atividade econômica - Geral - veículos automotores - R$ (milhões)"
2011-03-01;14379;14611;149594;51093;1084;499;8276;331;21,13;17,14;27,95;21,47;39,87;37,94;46,33;49,4;18;14,36;19,02;20,44;6,46;6,05;9,15;12,04;3,46;4,51;3,66;6,5;1,61;1,33;2,08;1,63;NA;NA;NA;NA;NA
2011-04-01;14853;14389;152917;49289;1031;471;7837;416;21,41;17,37;28,44;19,56;47,81;36,99;46,57;49,47;17,97;14,33;19;20,32;6,65;5,73;9,48;11,98;3,41;4,57;3,95;6,47;1,63;1,34;2,11;1,5;NA;NA;NA;NA;NA
2011-05-01;15324;14120;156296;47494;1148;546;8691;701;21,14;17,69;28,33;20,18;33;36,63;46,77;50,7;18,07;14,37;18,86;20,15;6,32;5,45;9,25;12;3,49;4,8;4,29;6,61;1,61;1,37;2,1;1,54;NA;NA;NA;NA;NA
2011-06-01;15939;13849;159586;45860;1202;472;8193;617;20,82;18,2;28,05;20,6;35,23;38,64;46,67;50,27;18,15;14,63;18,87;20,1;6,18;5,49;9,19;11,85;3,42;4,76;4,49;6,76;1,59;1,4;2,08;1,57;NA;NA;NA;NA;NA
2011-07-01;16521;13666;162943;44240;1220;451;8080;588;21,04;18,18;28,02;20,53;35,09;38,18;47;49,9;18,24;14,39;18,82;20,06;6,26;5,55;9,25;11,82;3,44;4,69;4,75;6,84;1,6;1,4;2,08;1,57;NA;NA;NA;NA;NA
2011-08-01;17219;13285;166586;42238;1324;422;9305;323;20,7;17,67;27,36;21,23;35,12;36,8;47,07;50,13;15,85;14,51;18,8;19,94;5,86;5,6;9,34;12,38;3,64;4,36;5;6,86;1,58;1,37;2,04;1,62;NA;NA;NA;NA;NA
2011-09-01;17864;12971;169960;40284;1280;390;8869;170;20,17;17,27;26,23;17,9;35,38;38,01;46,63;44,8;15,99;14,51;18,75;19,86;5,61;5,7;9,28;12,53;3,83;4,31;5,23;6,92;1,54;1,34;1,96;1,38;NA;NA;NA;NA;NA
2011-10-01;18283;12702;171971;38418;1144;362;8241;126;20,35;17,25;26,2;17,89;35,26;37,9;46,73;45,6;15,9;14,5;18,62;19,28;6,38;5,97;10,19;13,45;3,83;4,38;5,55;7,13;1,56;1,33;1,96;1,38;NA;NA;NA;NA;NA
2011-11-01;18900;12406;174597;36608;1224;364;8878;148;19,18;17,03;25,92;17,7;34,81;38,45;46,63;44,97;16,03;14,38;18,54;17,22;6,29;6,73;9,88;13,63;3,87;4,51;5,79;7,34;1,47;1,32;1,94;1,37;NA;NA;NA;NA;NA
2011-12-01;19298;12186;177728;34749;1357;409;9289;155;17,92;16,64;25,26;16,59;34,65;37,28;46,27;44,27;16,08;14,44;18,49;18,82;6,01;5,79;8,93;12,27;4,04;4,7;5,98;7,5;1,38;1,29;1,89;1,29;NA;NA;NA;NA;NA
2012-01-01;19586;11883;180138;33095;1030;335;7638;117;18,82;16,36;25,49;16,14;34,11;37,02;45,87;45,53;15,78;14,1;18,36;18,33;6,52;6,27;9,65;13,08;4,24;4,88;6,26;7,93;1,45;1,27;1,91;1,25;NA;NA;NA;NA;39062
2012-02-01;19867;11627;181390;31546;1011;347;6765;101;19,15;16,37;25,58;15,68;34,43;37,02;45,5;46,03;15,76;14,35;18,26;18,02;6,81;6,47;9,99;13,4;4,35;4,99;6,57;8,36;1,47;1,27;1,92;1,22;NA;NA;NA;NA;38633
2012-03-01;20296;11398;182764;29903;1323;382;7719;117;18,64;16,47;25,41;15,16;33,46;38,63;44,8;45,93;15,7;14,43;18,15;18,14;6,79;5,93;10,05;13,83;4,29;5,5;6,69;8,67;1,43;1,28;1,9;1,18;NA;NA;NA;NA;39824
2012-04-01;20570;11144;183486;28306;1131;341;6651;81;18,67;16,14;24,75;15,23;32,89;39,77;44,43;44,6;15,54;14,48;18,01;17,94;6,89;6,25;10,15;14,25;4,35;5,62;6,98;8,82;1,44;1,25;1,86;1,19;NA;NA;NA;NA;39686
